Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_62_286,VGND,li1,137.7700,179.5200,0.000002
FILLER_62_283,VGND,li1,136.3900,179.5200,0.000002
FILLER_62_280,VGND,li1,135.0100,179.5200,0.000002
FILLER_62_277,VGND,li1,133.6300,179.5200,0.000002
FILLER_62_274,VGND,li1,132.2500,179.5200,0.000002
FILLER_62_271,VGND,li1,130.8700,179.5200,0.000002
FILLER_62_268,VGND,li1,129.4900,179.5200,0.000002
FILLER_62_265,VGND,li1,128.1100,179.5200,0.000002
FILLER_62_262,VGND,li1,126.7300,179.5200,0.000002
FILLER_62_259,VGND,li1,125.3500,179.5200,0.000002
FILLER_62_256,VGND,li1,123.9700,179.5200,0.000002
FILLER_62_253,VGND,li1,122.5900,179.5200,0.000002
FILLER_62_251,VGND,li1,121.2100,179.5200,0.000002
FILLER_62_248,VGND,li1,120.2900,179.5200,0.000002
FILLER_62_245,VGND,li1,118.9100,179.5200,0.000002
FILLER_62_242,VGND,li1,117.5300,179.5200,0.000002
FILLER_62_239,VGND,li1,116.1500,179.5200,0.000002
FILLER_62_236,VGND,li1,114.7700,179.5200,0.000002
FILLER_62_233,VGND,li1,113.3900,179.5200,0.000002
FILLER_62_230,VGND,li1,112.0100,179.5200,0.000002
FILLER_62_227,VGND,li1,110.6300,179.5200,0.000002
FILLER_62_224,VGND,li1,109.2500,179.5200,0.000002
FILLER_62_221,VGND,li1,107.8700,179.5200,0.000002
FILLER_62_218,VGND,li1,106.4900,179.5200,0.000002
FILLER_62_215,VGND,li1,105.1100,179.5200,0.000002
FILLER_62_212,VGND,li1,103.7300,179.5200,0.000001
FILLER_62_209,VGND,li1,102.3500,179.5200,0.000001
FILLER_62_206,VGND,li1,100.9700,179.5200,0.000001
FILLER_62_203,VGND,li1,99.5900,179.5200,0.000001
FILLER_62_200,VGND,li1,98.2100,179.5200,0.000001
FILLER_62_197,VGND,li1,96.8300,179.5200,0.000001
FILLER_62_195,VGND,li1,95.4500,179.5200,0.000001
FILLER_62_192,VGND,li1,94.5300,179.5200,0.000001
FILLER_62_189,VGND,li1,93.1500,179.5200,0.000001
FILLER_62_186,VGND,li1,91.7700,179.5200,0.000001
FILLER_62_183,VGND,li1,90.3900,179.5200,0.000001
FILLER_62_180,VGND,li1,89.0100,179.5200,0.000001
FILLER_62_177,VGND,li1,87.6300,179.5200,0.000001
FILLER_62_174,VGND,li1,86.2500,179.5200,0.000001
FILLER_62_171,VGND,li1,84.8700,179.5200,0.000001
FILLER_62_168,VGND,li1,83.4900,179.5200,0.000001
FILLER_62_165,VGND,li1,82.1100,179.5200,0.000001
FILLER_62_162,VGND,li1,80.7300,179.5200,0.000001
FILLER_62_159,VGND,li1,79.3500,179.5200,0.000001
FILLER_62_156,VGND,li1,77.9700,179.5200,0.000001
FILLER_62_153,VGND,li1,76.5900,179.5200,0.000001
FILLER_62_150,VGND,li1,75.2100,179.5200,0.000001
FILLER_62_147,VGND,li1,73.8300,179.5200,0.000001
FILLER_62_144,VGND,li1,72.4500,179.5200,0.000001
FILLER_62_141,VGND,li1,71.0700,179.5200,0.000001
FILLER_62_139,VGND,li1,69.6900,179.5200,0.000001
FILLER_62_136,VGND,li1,68.7700,179.5200,0.000001
FILLER_62_133,VGND,li1,67.3900,179.5200,0.000001
