Instance,Terminal,Layer,X location,Y location,Voltage
dc_inst.x6.x19,VPWR,li1,17.2500,29.9200,1.799995
dc_inst.x6.x18,VPWR,li1,19.5500,29.9200,1.799995
dc_inst.x6.x17,VPWR,li1,16.3300,24.4800,1.800000
dc_inst.x6.x16,VPWR,li1,17.7100,24.4800,1.800000
dc_inst.x6.x15,VPWR,li1,19.0900,24.4800,1.800000
dc_inst.x6.x14,VPWR,li1,16.3300,24.4800,1.800000
dc_inst.x6.x13,VPWR,li1,17.7100,24.4800,1.800000
dc_inst.x6.x12,VPWR,li1,14.9500,24.4800,1.800000
dc_inst.x6.x11,VPWR,li1,13.5700,19.0400,1.799999
dc_inst.x6.x10,VPWR,li1,14.9500,19.0400,1.799999
dc_inst.x6.x1,VPWR,li1,14.9500,24.4800,1.800000
dc_inst.x5.x9,VPWR,li1,29.2100,13.6000,1.799999
dc_inst.x5.x8,VPWR,li1,19.5500,13.6000,1.799999
dc_inst.x5.x7,VPWR,li1,20.9300,13.6000,1.799999
dc_inst.x5.x6,VPWR,li1,16.3300,19.0400,1.799999
dc_inst.x5.x5,VPWR,li1,22.3100,13.6000,1.799999
dc_inst.x5.x4,VPWR,li1,26.4500,13.6000,1.799999
dc_inst.x5.x3,VPWR,li1,25.0700,13.6000,1.799999
dc_inst.x5.x20,VPWR,li1,9.6600,29.9200,1.799994
dc_inst.x5.x2,VPWR,li1,7.5900,13.6000,1.799999
dc_inst.x5.x19,VPWR,li1,8.9700,19.0400,1.799999
dc_inst.x5.x18,VPWR,li1,7.5900,19.0400,1.799999
dc_inst.x5.x17,VPWR,li1,8.5100,19.0400,1.799999
dc_inst.x5.x16,VPWR,li1,8.5100,13.6000,1.799999
dc_inst.x5.x15,VPWR,li1,9.8900,13.6000,1.799999
dc_inst.x5.x14,VPWR,li1,8.9700,13.6000,1.799999
dc_inst.x5.x13,VPWR,li1,10.3500,13.6000,1.799999
dc_inst.x5.x12,VPWR,li1,29.6700,19.0400,1.799998
dc_inst.x5.x11,VPWR,li1,30.5900,13.6000,1.799999
dc_inst.x5.x10,VPWR,li1,27.8300,13.6000,1.799999
dc_inst.x5.x1,VPWR,li1,13.5700,13.6000,1.799999
dc_inst.x4.x9,VPWR,li1,19.0900,13.6000,1.799999
dc_inst.x4.x8,VPWR,li1,17.7100,19.0400,1.799999
dc_inst.x4.x7,VPWR,li1,19.5500,19.0400,1.799999
dc_inst.x4.x6,VPWR,li1,17.7100,19.0400,1.799999
dc_inst.x4.x5,VPWR,li1,19.0900,19.0400,1.799999
dc_inst.x4.x4,VPWR,li1,21.8500,24.4800,1.800000
dc_inst.x4.x3,VPWR,li1,24.6100,24.4800,1.800000
dc_inst.x4.x20,VPWR,li1,13.3400,19.0400,1.799999
dc_inst.x4.x2,VPWR,li1,23.2300,24.4800,1.800000
dc_inst.x4.x19,VPWR,li1,12.1900,13.6000,1.799999
dc_inst.x4.x18,VPWR,li1,14.9500,13.6000,1.799999
dc_inst.x4.x17,VPWR,li1,15.8700,19.0400,1.799999
dc_inst.x4.x16,VPWR,li1,16.3300,13.6000,1.799999
dc_inst.x4.x15,VPWR,li1,13.5700,13.6000,1.799999
dc_inst.x4.x14,VPWR,li1,17.7100,13.6000,1.799999
dc_inst.x4.x13,VPWR,li1,14.9500,13.6000,1.799999
dc_inst.x4.x12,VPWR,li1,16.3300,13.6000,1.799999
dc_inst.x4.x11,VPWR,li1,17.7100,13.6000,1.799999
dc_inst.x4.x10,VPWR,li1,20.4700,13.6000,1.799999
dc_inst.x4.x1,VPWR,li1,23.6900,29.9200,1.799995
dc_inst.x3.x9,VPWR,li1,36.5700,35.3600,1.799964
dc_inst.x3.x8,VPWR,li1,35.1900,40.8000,1.799890
dc_inst.x3.x7,VPWR,li1,33.8100,35.3600,1.799964
dc_inst.x3.x6,VPWR,li1,35.1900,35.3600,1.799964
dc_inst.x3.x5,VPWR,li1,32.4300,35.3600,1.799964
dc_inst.x3.x4,VPWR,li1,31.0500,35.3600,1.799964
dc_inst.x3.x3,VPWR,li1,29.6700,35.3600,1.799964
dc_inst.x3.x20,VPWR,li1,29.9000,29.9200,1.799994
dc_inst.x3.x2,VPWR,li1,32.4300,29.9200,1.799994
dc_inst.x3.x19,VPWR,li1,32.4300,35.3600,1.799964
dc_inst.x3.x18,VPWR,li1,33.8100,35.3600,1.799964
dc_inst.x3.x17,VPWR,li1,28.2900,35.3600,1.799964
dc_inst.x3.x16,VPWR,li1,29.2100,35.3600,1.799964
dc_inst.x3.x15,VPWR,li1,30.5900,35.3600,1.799964
dc_inst.x3.x14,VPWR,li1,35.1900,29.9200,1.799994
dc_inst.x3.x13,VPWR,li1,35.1900,35.3600,1.799964
dc_inst.x3.x12,VPWR,li1,36.5700,29.9200,1.799994
dc_inst.x3.x11,VPWR,li1,36.5700,40.8000,1.799890
dc_inst.x3.x10,VPWR,li1,36.5700,35.3600,1.799964
dc_inst.x3.x1,VPWR,li1,26.9100,35.3600,1.799964
dc_inst.x2.x9,VPWR,li1,25.0700,13.6000,1.799999
