Instance,Terminal,Layer,X location,Y location,Voltage
dc_inst.x2.x16,VGND,li1,25.5300,21.7600,0.000001
dc_inst.x2.x15,VGND,li1,26.9100,21.7600,0.000001
dc_inst.x2.x14,VGND,li1,26.9100,16.3200,0.000001
dc_inst.x2.x13,VGND,li1,28.2900,16.3200,0.000001
dc_inst.x2.x12,VGND,li1,26.4500,16.3200,0.000001
dc_inst.x2.x11,VGND,li1,27.8300,16.3200,0.000001
dc_inst.x2.x10,VGND,li1,29.2100,16.3200,0.000001
dc_inst.x2.x1,VGND,li1,20.4700,21.7600,0.000001
dc_inst.x10,VGND,li1,20.9300,32.6400,0.000005
dc_inst.x1.x9,VGND,li1,29.2100,21.7600,0.000001
dc_inst.x1.x8,VGND,li1,29.2100,27.2000,0.000004
dc_inst.x1.x7,VGND,li1,30.5900,21.7600,0.000001
dc_inst.x1.x6,VGND,li1,36.5700,21.7600,0.000001
dc_inst.x1.x5,VGND,li1,33.8100,21.7600,0.000001
dc_inst.x1.x4,VGND,li1,30.5900,27.2000,0.000004
dc_inst.x1.x3,VGND,li1,33.8100,32.6400,0.000004
dc_inst.x1.x20,VGND,li1,21.6200,21.7600,0.000001
dc_inst.x1.x2,VGND,li1,32.4300,21.7600,0.000001
dc_inst.x1.x19,VGND,li1,22.7700,21.7600,0.000001
dc_inst.x1.x18,VGND,li1,20.0100,21.7600,0.000001
dc_inst.x1.x17,VGND,li1,24.6100,21.7600,0.000001
dc_inst.x1.x16,VGND,li1,24.1500,21.7600,0.000001
dc_inst.x1.x15,VGND,li1,31.0500,21.7600,0.000001
dc_inst.x1.x14,VGND,li1,28.2900,21.7600,0.000001
dc_inst.x1.x13,VGND,li1,29.6700,21.7600,0.000001
dc_inst.x1.x12,VGND,li1,35.1900,21.7600,0.000001
dc_inst.x1.x11,VGND,li1,32.8900,16.3200,0.000002
dc_inst.x1.x10,VGND,li1,31.5100,16.3200,0.000002
dc_inst.x1.x1,VGND,li1,28.7500,27.2000,0.000004
_25_,VGND,li1,13.5700,38.0800,0.000102
_24_,VGND,li1,23.6900,38.0800,0.000070
_23_,VGND,li1,22.7700,38.0800,0.000070
_22_,VGND,li1,17.2500,38.0800,0.000092
_21_,VGND,li1,36.5700,43.5200,0.000069
_20_,VGND,li1,35.1900,27.2000,0.000005
_19_,VGND,li1,34.7300,21.7600,0.000001
_18_,VGND,li1,35.6500,16.3200,0.000002
_17_,VGND,li1,35.8800,16.3200,0.000002
_16_,VGND,li1,35.6500,10.8800,0.000001
_15_,VGND,li1,33.5800,27.2000,0.000005
_14_,VGND,li1,33.8100,43.5200,0.000069
_13_,VGND,li1,31.5100,38.0800,0.000055
_12_,VGND,li1,23.6900,32.6400,0.000004
_11_,VGND,li1,32.8900,27.2000,0.000005
